File Name,Peak [CNN],Prediction Value,Peak [Worker],Matching
small ng samp 9_(22.3684_22.3684).csv,1,0.9494365453720092,1,o
small ng samp 9_(22.3684_25.0).csv,1,0.9669763445854188,1,o
small ng samp 9_(22.3684_3.94737).csv,0,0.0084790624678134,0,o
small ng samp 9_(22.3684_6.57895).csv,0,0.054034449160099,0,o
small ng samp 9_(22.3684_9.21053).csv,1,0.9059150815010072,1,o
small ng samp 9_(25.0_-1.31579).csv,1,0.9308694005012512,1,o
small ng samp 9_(25.0_-11.8421).csv,1,0.9741316437721252,1,o
small ng samp 9_(25.0_-14.4737).csv,1,0.9604514837265016,1,o
small ng samp 9_(25.0_-17.1053).csv,0,0.4790526628494262,1,x
small ng samp 9_(25.0_-19.7368).csv,1,0.7899575233459473,0,x
small ng samp 9_(25.0_-22.3684).csv,1,0.9262242317199708,0,x
small ng samp 9_(25.0_-25.0).csv,0,1.4266960533859674e-05,0,o
small ng samp 9_(25.0_-3.94737).csv,0,0.0421137958765029,0,o
small ng samp 9_(25.0_-6.57895).csv,1,0.9685858488082886,1,o
small ng samp 9_(25.0_-9.21053).csv,0,0.3122808337211609,1,x
small ng samp 9_(25.0_1.31579).csv,1,0.870913565158844,1,o
small ng samp 9_(25.0_11.8421).csv,0,0.3825458288192749,0,o
small ng samp 9_(25.0_14.4737).csv,0,0.2595422863960266,1,x
small ng samp 9_(25.0_17.1053).csv,0,0.0339271835982799,0,o
small ng samp 9_(25.0_19.7368).csv,0,0.0379556231200695,0,o
small ng samp 9_(25.0_22.3684).csv,0,0.0590779930353164,1,x
small ng samp 9_(25.0_25.0).csv,0,0.0206562839448452,0,o
small ng samp 9_(25.0_3.94737).csv,0,0.0359109751880168,0,o
small ng samp 9_(25.0_6.57895).csv,0,0.0195107590407133,0,o
small ng samp 9_(25.0_9.21053).csv,0,0.0251917392015457,0,o
small ng samp 9_(3.94737_-1.31579).csv,0,0.4241509735584259,1,x
small ng samp 9_(3.94737_-11.8421).csv,0,0.014977796934545,0,o
small ng samp 9_(3.94737_-14.4737).csv,0,0.4908424913883209,1,x
small ng samp 9_(3.94737_-17.1053).csv,0,0.0181976053863763,0,o
small ng samp 9_(3.94737_-19.7368).csv,1,0.9754191040992736,1,o
small ng samp 9_(3.94737_-22.3684).csv,1,0.9454773664474488,0,x
small ng samp 9_(3.94737_-25.0).csv,0,0.0258288346230983,1,x
small ng samp 9_(3.94737_-3.94737).csv,1,0.9793053269386292,1,o
small ng samp 9_(3.94737_-6.57895).csv,0,0.0134221902117133,0,o
small ng samp 9_(3.94737_-9.21053).csv,0,0.0089818323031067,0,o
small ng samp 9_(3.94737_1.31579).csv,0,0.4373381733894348,1,x
small ng samp 9_(3.94737_11.8421).csv,1,0.8991605639457703,1,o
small ng samp 9_(3.94737_14.4737).csv,1,0.9065819978713988,1,o
small ng samp 9_(3.94737_17.1053).csv,0,0.0196401700377464,0,o
small ng samp 9_(3.94737_19.7368).csv,1,0.8517017960548401,1,o
small ng samp 9_(3.94737_22.3684).csv,1,0.9554790258407592,1,o
small ng samp 9_(3.94737_25.0).csv,0,0.0068921693600714,0,o
small ng samp 9_(3.94737_3.94737).csv,0,0.0110707720741629,0,o
small ng samp 9_(3.94737_6.57895).csv,0,0.000821532565169,0,o
small ng samp 9_(3.94737_9.21053).csv,0,0.2547915279865265,0,o
small ng samp 9_(6.57895_-1.31579).csv,0,0.0182011742144823,0,o
small ng samp 9_(6.57895_-11.8421).csv,1,0.8156026601791382,1,o
small ng samp 9_(6.57895_-14.4737).csv,0,0.0373057126998901,0,o
small ng samp 9_(6.57895_-17.1053).csv,1,0.94153892993927,1,o
small ng samp 9_(6.57895_-19.7368).csv,0,0.1248494386672973,1,x
